class,AATS4dv,C1SP2,C4SP3,NssCH2,NdsCH,NssssC,NdO,StCH,fragCpx,ZMIC1,FilterItLogS,PEOE_VSA2,PEOE_VSA12,SlogP_VSA10,EState_VSA1,nRing,n6aHRing,nG12FRing,n9FaRing
0,4.051515151515151,0,0,3,0,0,1,0.0,198.06,47.36091661215295,-6.44936607673768,4.992404732635669,0.0,4.794537184071822,6.093240070938415,4,0,1,0
1,2.2791461412151066,0,0,6,0,0,1,0.0,169.07,56.1698496485764,-7.372331538918278,4.794537184071822,0.0,0.0,6.103966387748303,4,0,0,1
1,4.2560975609756095,0,0,2,0,0,1,0.0,109.06,31.92663836363111,-4.524057583532065,4.992404732635669,0.0,4.794537184071822,6.093240070938415,3,0,1,0
1,2.377649325626205,0,0,5,1,0,1,0.0,159.06,55.04564199228231,-7.917897971898604,4.794537184071822,0.0,0.0,0.0,4,0,0,1
1,3.255813953488372,2,0,3,0,0,1,0.0,219.05,58.490834865590166,-6.689460891703947,4.794537184071822,0.0,0.0,0.0,4,1,0,1
1,2.014925373134328,0,0,8,0,0,1,0.0,174.07,62.34581602902034,-8.431602956519521,4.794537184071822,0.0,0.0,0.0,4,0,0,1
0,3.0,2,0,4,0,0,1,0.0,82.06,45.99498300203759,-6.546309559956648,4.794537184071822,0.0,0.0,0.0,3,1,0,1
1,2.923076923076923,2,0,6,0,0,1,0.0,149.06,48.74938806709012,-6.605514553082002,4.794537184071822,0.0,0.0,0.0,4,1,0,1
1,4.233062330623306,0,0,2,0,0,1,0.0,109.06,31.92663836363111,-4.524057583532065,4.992404732635669,0.0,4.794537184071822,6.093240070938415,3,0,1,0
1,1.772093023255814,0,0,9,0,0,1,0.0,174.06,61.82749211843842,-9.098213782950475,4.794537184071822,0.0,0.0,0.0,4,0,0,1
1,3.1401869158878504,2,0,3,0,0,1,0.0,79.06,45.69115127187749,-6.155431733187004,4.794537184071822,0.0,0.0,0.0,3,1,0,1
1,3.5217391304347827,0,0,4,0,0,1,0.0,198.05,49.63443894537973,-5.904933890502141,4.992404732635669,0.0,4.794537184071822,6.093240070938415,4,0,1,0
1,4.1066666666666665,0,0,5,0,0,1,0.0,124.06,35.81508629445068,-5.916284827377113,4.992404732635669,0.0,4.794537184071822,6.093240070938415,3,0,1,0
0,1.9596491228070176,0,0,5,0,0,0,0.0,154.06,54.62646951305683,-7.067664780469313,0.0,0.0,0.0,6.103966387748303,4,0,0,1
0,2.0588235294117645,0,0,7,0,0,1,0.0,85.07,44.67224870653308,-6.705718830823924,4.794537184071822,0.0,0.0,0.0,3,0,0,1
1,1.8670212765957448,0,0,8,0,0,1,0.0,88.07,47.98077895761371,-7.131508073326516,4.794537184071822,0.0,0.0,0.0,3,0,0,1
0,3.5586206896551724,3,0,3,0,0,2,0.0,247.07,61.3297221172308,-6.859482310277844,4.794537184071822,0.0,0.0,0.0,4,1,0,1
0,3.581761006289308,0,0,5,0,0,1,0.0,124.06,35.81508629445068,-5.916284827377113,4.992404732635669,0.0,4.794537184071822,6.093240070938415,3,0,1,0
1,2.366088631984586,0,0,5,1,0,1,0.0,159.06,58.82092840974188,-7.792127971898603,4.794537184071822,0.0,0.0,0.0,4,0,0,1
1,3.488372093023256,2,0,3,0,0,1,0.0,226.06,55.67824977700208,-7.1032013516536425,4.794537184071822,0.0,4.39041504767482,0.0,4,1,0,1
1,2.286163522012579,0,0,6,0,0,1,0.0,174.07,58.20311342357594,-8.057802956519522,4.794537184071822,0.0,0.0,0.0,4,0,0,1
1,3.1260504201680672,2,0,5,0,0,1,0.0,144.06,47.01543351219734,-6.341378378895617,4.794537184071822,0.0,0.0,0.0,4,1,0,1
